string_id,context,ko,en,ja,zh-Hans,zh-Hant,es,fr,de,pt-BR,notes,status
s03_index.quote.01,lore,다음 장으로 가기 전에 지도를 한 번 더 보자. 아직 이름 붙지 않은 자리가 보일 것이다. 거기가 당신의 구역일지도 모른다.,,,,,,,,,wb_v1,ko_draft
p03_01.title,lore,반짝섬 전체도,,,,,,,,,wb_v1,ko_draft
p03_01.category,lore,세계관,,,,,,,,,wb_v1,ko_draft
p03_01.nav_label,lore,반짝섬 전체도,,,,,,,,,wb_v1,ko_draft
p03_01.summary.01,lore,심장형 섬을 부감으로 보며 15구역·항구·숙소·반짝산의 배치와 이음새를 안내한다.,,,,,,,,,wb_v1,ko_draft
p03_01.head.01,lore,한 줄 정의,,,,,,,,,wb_v1,ko_draft
p03_01.quote.01,lore,"섬은 땅의 모양보다 마음의 이음새로 읽혀야 한다. 등대는 가장 외진 곳에 있고, 집은 늘 한가운데 있다.",,,,,,,,,wb_v1,ko_draft
p03_01.head.02,lore,풍경과 구성요소,,,,,,,,,wb_v1,ko_draft
p03_01.body.01,lore,"위에서 내려다보면 반짝섬은 둥글고 포근한 심장처럼 생겼다. 사방이 바다다. 섬 가장자리 남쪽으로 **감정의 파도 항구(02)**와 **꿈꾸는 등대(01)** 곶이 바다와 가장 먼저 맞닿는다. 항구에서 안으로 들어오면 숲·동굴·폭포가 서쪽 사면을 가득 채우고, 동쪽으로는 오아시스·모래 광장·우정의 다리(10)가 이어진다. 섬 한가운데에는 **꿈 조각 하우스(13)**가 앉아 있어 모든 길이 거기서 만나 헤어진다. 그리고 섬 안쪽 높은 봉우리로 **목표의 반짝 산(09)**이 섬 어디서나 보이도록 솟아 있다. 섬 밖으로 이어지는 길은 하나뿐이다. 우정의 다리(10)만이 이웃 섬으로 건넌다.",,,,,,,,,wb_v1,ko_draft
p03_01.head.03,lore,소구역,,,,,,,,,wb_v1,ko_draft
p03_01.body.02,lore,소구역 지도는 구역별 페이지(p03_03~p03_17)에 각각 펼쳐져 있다. 전체도에서 읽어 두면 좋은 이음새만 짚는다.,,,,,,,,,wb_v1,ko_draft
p03_01.list.01.title,lore,반짝섬 전체도,,,,,,,,,wb_v1,ko_draft
p03_01.list.01.item.01,lore,**항구(02)↔등대(01):** 바다 쪽 가장자리 한 쌍. 떠남과 기다림이 한 발 차이다.,,,,,,,,,wb_v1,ko_draft
p03_01.list.01.item.02,lore,**숙소(13) 중심:** 모든 구역이 숙소를 감싸는 형태. 아무리 멀리 가도 집은 지도 한가운데.,,,,,,,,,wb_v1,ko_draft
p03_01.list.01.item.03,lore,**반짝 산(09):** 가장 높은 봉우리. 어느 구역에 있어도 언뜻 보인다. 목표란 그런 것이다.,,,,,,,,,wb_v1,ko_draft
p03_01.list.01.item.04,lore,**우정의 다리(10):** 섬에서 바깥으로 이어지는 유일한 길. 다른 섬으로 가는 것은 이 다리뿐이다.,,,,,,,,,wb_v1,ko_draft
p03_01.head.04,lore,랜드마크,,,,,,,,,wb_v1,ko_draft
p03_01.body.03,lore,"곶 끝의 흰 **꿈꾸는 등대**, 항구의 **손 흔드는 부두**, 숲 깊은 **잎맥나무**, 광장의 **거대 모래시계탑**, 봉우리 위 **정상 무대**, 호수 끝 **되비치는 부두**. 섬 어딘가에 가장 오래 남는 구조물들이다.",,,,,,,,,wb_v1,ko_draft
p03_01.head.05,lore,기념물,,,,,,,,,wb_v1,ko_draft
p03_01.body.04,lore,"구역마다 작은 기념물 하나씩이 박혀 있다. 누가 세웠는지 아무도 모른다. 다만 그것이 거기 있다는 것은, 누군가 거기서 머물다 갔다는 뜻이다.",,,,,,,,,wb_v1,ko_draft
p03_01.head.06,lore,자원과 보석,,,,,,,,,wb_v1,ko_draft
p03_01.body.05,lore,구역마다 그 자리에서만 나는 보석이 있다. 윤슬가루(01)·소금별(02)·기억도토리(03)·생각수정(04)·용기수정(05)·미지근옥(06)·순간유리(07)… 이 섬의 보석은 구하는 것이 아니라 머물다가 주머니에 들어오는 것들이다.,,,,,,,,,wb_v1,ko_draft
p03_01.head.07,lore,신기한 동물·현상,,,,,,,,,wb_v1,ko_draft
p03_01.body.06,lore,빛나래·배웅갈매기·되새김 사슴·듣는 박쥐·거슬러 은어·느림보 물범·순간잠자리. 섬의 생물들은 풍경의 일부이면서 동시에 그 구역의 마음을 몸으로 보여준다.,,,,,,,,,wb_v1,ko_draft
p03_01.head.08,lore,작은 역사,,,,,,,,,wb_v1,ko_draft
p03_01.body.07,lore,"처음에 이 섬은 회색이었다. 색이 없어서 회색이 아니라, 아무도 들여다보지 않아서 색을 잊었다. 첫 아이동이 닿고, 구역 하나하나에 색이 한 점씩 돌아왔다. 전체도에서 보면 그 순서가 지도 위의 길처럼 이어진다. 항구에서 시작해, 지금도 어디선가 한 구역이 더 깨어나는 중이다.",,,,,,,,,wb_v1,ko_draft
p03_01.head.09,lore,여기 어울리는 아이동,,,,,,,,,wb_v1,ko_draft
p03_01.body.08,lore,"섬 전체를 담는 지도이므로 어느 아이동이나 어울린다. 다만 지도를 처음 들고 어디로 갈지 결정하는 그 순간, 아직 회색인 구역을 한 번 더 쳐다보는 눈이 있다면, 그것이 반짝섬의 시작이다.",,,,,,,,,wb_v1,ko_draft
p03_02.title,lore,15구역의 법칙,,,,,,,,,wb_v1,ko_draft
p03_02.category,lore,세계관,,,,,,,,,wb_v1,ko_draft
p03_02.nav_label,lore,15구역의 법칙,,,,,,,,,wb_v1,ko_draft
p03_02.summary.01,lore,"왜 구역이 정확히 15개인지, 구역이 색을 되찾는 원리를 에세이체로 풀어낸다.",,,,,,,,,wb_v1,ko_draft
p03_02.body.01,lore,"이 섬의 구역이 왜 열다섯 개인지는, 처음에는 아무도 세어 보지 않았다. 그냥 거기 있었다. 등대가 있고, 항구가 있고, 숲이 있고, 동굴이 있었다. 나중에 누군가 세어 보니 열다섯이었다.",,,,,,,,,wb_v1,ko_draft
p03_02.body.02,lore,"그 열다섯을 찬찬히 들여다보면 비슷한 모양이 보인다. 스무 살과 서른 살 사이를 지나는 사람의 마음에서 가장 자주 불이 켜지고 꺼지는 자리들이다. 막막한 시작, 떠나보냄, 흐려지는 기억, 밤의 고민, 넘어짐과 재기, 지쳐서 멈춤, 시간이 새어 나가는 느낌, 혼자 걷는 길, 꿈의 무게, 관계의 두려움, 표현하고 싶은 충동, 첫 도전의 떨림, 일상의 반복 속 온기, 더딘 성장, 그리고 자기 자신과 마주하는 일. 이 열다섯이다.",,,,,,,,,wb_v1,ko_draft
p03_02.body.03,lore,"구역은 늘어나지 않는다. 그러나 그 안에 깃드는 것들은 끝없이 늘어난다. 한 구역에 처음 아이동이 자리를 잡는 순간, 그 구역은 색 한 점을 되찾는다. 폭죽처럼 환하게 켜지는 게 아니다. 등대불 하나, 잎 한 장, 물안개 속 무지개 한 줄. 소박하게, 그러나 분명하게 켜진다. 한 번 켜진 색은 어두워지지 않는다. 부재도 빛의 일부다.",,,,,,,,,wb_v1,ko_draft
p03_02.body.04,lore,섬이 색을 잃은 건 아무도 들여다보지 않았기 때문이다. 그래서 색을 되찾는 법도 간단하다. 들여다보는 것. 함께 시간을 보내는 것. 지나가는 것. 넘어진 자리에 잠깐 멈추는 것. 회색을 꽃으로 바꾸는 건 능력이 아니라 **알아봐 주는 눈길**이다.,,,,,,,,,wb_v1,ko_draft
p03_02.quote.01,lore,"열다섯 구역은 섬의 풍경이 아니라, 마음의 지형도다. 그리고 지도에서 가장 중요한 건 목적지보다 지금 서 있는 자리다.",,,,,,,,,wb_v1,ko_draft
p03_03.title,lore,AREA-01 꿈꾸는 등대,,,,,,,,,wb_v1,ko_draft
p03_03.category,lore,구역,,,,,,,,,wb_v1,ko_draft
p03_03.nav_label,lore,AREA-01 꿈꾸는 등대,,,,,,,,,wb_v1,ko_draft
p03_03.summary.01,lore,"곶 끝 흰 등대, 빈 의자, 빛나래가 지키는 희망·길잡이의 구역.",,,,,,,,,wb_v1,ko_draft
p03_03.head.01,lore,한 줄 정의,,,,,,,,,wb_v1,ko_draft
p03_03.quote.01,lore,"등대는 도착을 본 적이 없다. 그래도 매일 밤, 아직 오지 않은 누군가를 위해 불을 켠다.",,,,,,,,,wb_v1,ko_draft
p03_03.body.01,lore,"곶의 끝에 다다르면 바람이 먼저 마중 나온다. 짠 내와 젖은 돌 냄새, 그리고 발밑에서 사각이는 마른 풀. 고개를 들면 회청색 하늘을 등지고 흰 등대 하나가 서 있다. 부두 끝에는 빈 의자가 하나 놓여 있다. 누구의 것인지 아무도 모르지만, 늘 바다 쪽을 향해 있다.",,,,,,,,,wb_v1,ko_draft
p03_03.head.02,lore,풍경과 구성요소,,,,,,,,,wb_v1,ko_draft
p03_03.body.02,lore,"바다로 길게 뻗은 곶의 맨 끝, 섬에서 가장 먼저 바다를 만나는 자리다. **전경**에는 등대초가 바람에 눕고, **중경**에는 젖은 나무 부두와 빈 의자, **원경**에는 남청에서 호박빛으로 번지는 수평선이 있다. 등대 안은 좁은 나선 계단이 위로 감겨 올라가고, 꼭대기 등롱에는 윤슬가루로 켜는 작은 불씨가 있어 한 줌이면 밤새 탄다. 낮의 등대는 그저 낡은 탑이지만, 어스름이 내리면 호박빛 불이 켜지고 그 불은 밤새 꺼지지 않는다.",,,,,,,,,wb_v1,ko_draft
p03_03.list.01.title,lore,소구역,,,,,,,,,wb_v1,ko_draft
p03_03.list.01.item.01,lore,**해안 오솔길**: 파도 소리가 먼저 들리는 외진 길. 풀섶에서 윤슬 한 점이 길을 밝힌다.,,,,,,,,,wb_v1,ko_draft
p03_03.list.01.item.02,lore,**빈 의자 부두**: 아직 오지 않은 이를 기다리는 자리. 의자 밑에 누군가 두고 간 윤슬가루가 반짝인다.,,,,,,,,,wb_v1,ko_draft
p03_03.list.01.item.03,lore,**등대지기 작은 창고**: 오래된 물건들이 조용히 남은 곳. 지도 한 귀퉁이가 바람 없이 살짝 들린다.,,,,,,,,,wb_v1,ko_draft
p03_03.list.01.item.04,lore,**등대 전망턱**: 섬과 바다를 한 번에 내려다보는 끝자리. 빛나래가 부리에 문 빛을 난간에 내려놓는다.,,,,,,,,,wb_v1,ko_draft
p03_03.head.03,lore,랜드마크,,,,,,,,,wb_v1,ko_draft
p03_03.body.03,lore,"**꿈꾸는 등대**: 섬에서 가장 오래된 흰 탑. 회색의 긴 잠 동안 섬 전체에서 유일하게 깨어 있던 빛이었다. 사람들은 이 등대가 ""꿈을 꾼다""고 한다. 도착하지 않은 배의 꿈, 아직 만나지 못한 사람의 꿈을 대신 꿔 준다는 뜻이다. 등롱의 불은 밤마다 한 번, 까닭 없이 한 박자 더 깜빡인다.",,,,,,,,,wb_v1,ko_draft
p03_03.head.04,lore,기념물,,,,,,,,,wb_v1,ko_draft
p03_03.body.04,lore,"**첫 불씨 종**: 등대 아래 걸린 작은 청동 종. 회색의 긴 잠이 가장 깊던 어느 밤, 종이 딱 한 번 울렸다고 전한다. 누구를 부른 것도 아니었다. ""여기 아직 불이 있다""는 한 번의 알림이었다. **빈 의자**: 그날부터 늘 바다를 보고 있다. 앉는 사람보다 기다리는 이를 위해 거기 있다.",,,,,,,,,wb_v1,ko_draft
p03_03.head.05,lore,자원과 보석,,,,,,,,,wb_v1,ko_draft
p03_03.body.05,lore,"**윤슬가루**: 새벽 등대 앞 바다의 잔물결 빛을 그늘에 말리면 남는 은청색 가루. 회색의 잠 동안에도 이 가루만은 마르지 않았다. 한 줌이면 꺼진 등불 하나를 다시 켤 수 있다. 빈 의자 밑, 젖은 부두 틈, 빛나래가 앉았던 자리에서 한 꼬집씩 줍는다. **등대초**와 **길잡이 고동**도 여기서 거둔다.",,,,,,,,,wb_v1,ko_draft
p03_03.head.06,lore,신기한 동물·현상,,,,,,,,,wb_v1,ko_draft
p03_03.body.06,lore,"**빛나래**: 손바닥만 한 회청색 새. 부리에 윤슬 한 점을 물고 밤마다 등대 둘레를 천천히 돈다. 사람이 부두에 닿으면 물고 있던 빛을 판자 위에 살며시 떨어뜨리고 사라진다. **등대의 한 박자 깜빡임**: 밤마다 한 번, 새 아이동이 도착하기 전날이면 두 번이 된다고 한다.",,,,,,,,,wb_v1,ko_draft
p03_03.head.07,lore,작은 역사,,,,,,,,,wb_v1,ko_draft
p03_03.body.07,lore,"회색의 긴 잠 동안에도 이 등대만은 불을 끄지 않았다. 상륙절 전야, 등대가 두 번 깜빡였고 다음 날 첫 조각배가 항구에 닿았다. 반짝섬에서 가장 먼저 깨어 있었던 빛이자, 가장 마지막까지 깨어 있을 빛이 여기다.",,,,,,,,,wb_v1,ko_draft
p03_03.head.08,lore,여기 어울리는 아이동,,,,,,,,,wb_v1,ko_draft
p03_03.body.08,lore,"기다림과 다정함을 가진 아이동이 잘 어울린다. **황금멍**(강아지)의 결이 가깝다. 꼬리를 흔들며 누가 오기만 기다리는, 솔직하고 따뜻한 기다림이다. 또는 말수 적은 **양털곰**이 등대지기처럼 묵묵히 불 곁을 지키는 그림도 좋다. 아무도 보지 않던 무명의 무대에도 켜져 있던 조명 한 줄처럼, 등대의 불빛은 그런 위로다.",,,,,,,,,wb_v1,ko_draft
p03_04.title,lore,AREA-02 감정의 파도 항구,,,,,,,,,wb_v1,ko_draft
p03_04.category,lore,구역,,,,,,,,,wb_v1,ko_draft
p03_04.nav_label,lore,AREA-02 감정의 파도 항구,,,,,,,,,wb_v1,ko_draft
p03_04.summary.01,lore,"손 흔드는 부두, 돌아온 자의 닻이 있는 출항·떠남의 구역.",,,,,,,,,wb_v1,ko_draft
p03_04.head.01,lore,한 줄 정의,,,,,,,,,wb_v1,ko_draft
p03_04.quote.01,lore,"부두는 떠나는 등을 붙잡지 않는다. 다만 그 자리에 남아, 돌아올 때 가장 먼저 보이는 곳이 되어 준다.",,,,,,,,,wb_v1,ko_draft
p03_04.body.01,lore,"등대 곶을 돌아 내려오면 바람의 결이 바뀐다. 발밑이 사각이는 풀에서 삐걱이는 판자로 옮겨 간다. 항구다. 바다청록 물 위로 석양이 주황으로 풀리고, 낡은 부두 끝에는 작은 배 한 척이 묶여 있다.",,,,,,,,,wb_v1,ko_draft
p03_04.head.02,lore,풍경과 구성요소,,,,,,,,,wb_v1,ko_draft
p03_04.body.02,lore,"섬이 바다와 손을 맞잡는 자리, 가장자리에 있다. **전경**에는 부두 판자 틈의 소금꽃과 닻고둥 껍데기, **중경**에는 출항을 기다리는 배와 손 흔들듯 늘어선 부두 기둥들, **원경**에는 바다청록에서 석양주황으로 번지는 수평선이 있다. 부두 한가운데에는 오래된 닻 하나가 박혀 있다. 그냥 거기 박혀서 다시는 떠내려가지 않는 닻이다. 이곳은 섬에서 바다로 나가는 유일한 문이지만, 그 문이 떠나보냄의 자리이면서 동시에 돌아옴의 자리이기도 하다.",,,,,,,,,wb_v1,ko_draft
p03_04.list.01.title,lore,소구역,,,,,,,,,wb_v1,ko_draft
p03_04.list.01.item.01,lore,**소금꽃 골목**: 바닷바람에 말라 반짝이는 좁은 길. 골목 끝에서 배웅갈매기 그림자가 지나간다.,,,,,,,,,wb_v1,ko_draft
p03_04.list.01.item.02,lore,**손 흔드는 부두**: 떠나는 등과 돌아오는 발소리가 만나는 자리. 닻고둥 껍데기가 파도에 밀려와 발끝에 닿는다.,,,,,,,,,wb_v1,ko_draft
p03_04.list.01.item.03,lore,**항로 보드 등대탑**: 오늘의 바다가 어느 쪽으로 열리는지 보는 곳. 보드의 빈 칸 하나에 빛점이 천천히 켜진다.,,,,,,,,,wb_v1,ko_draft
p03_04.list.01.item.04,lore,**표류목 매점**: 오가는 길에 줍힌 것들이 잠깐 쉬는 가판. 주인 없는 매점에 따뜻한 차 한 잔이 놓여 있다.,,,,,,,,,wb_v1,ko_draft
p03_04.head.03,lore,랜드마크,,,,,,,,,wb_v1,ko_draft
p03_04.body.03,lore,"**항로 보드 등대탑**: 떠나는 배가 어느 바다로 향하는지를 빛점의 방향으로만 알려 주는 낮은 탑. 큰 등대가 ""오라""고 부른다면, 이 탑은 ""잘 다녀오라""고 가리킨다. **손 흔드는 부두**: 바람이 불면 기둥들이 한 줄로 끄덕인다. 멀리서 보면 여러 사람이 손을 흔드는 것 같다.",,,,,,,,,wb_v1,ko_draft
p03_04.head.04,lore,기념물,,,,,,,,,wb_v1,ko_draft
p03_04.body.04,lore,"**돌아온 자의 닻**: 상륙절에 첫 아이동이 발을 디딘 바로 그 자리에 박혔다. 그날 이 닻 곁에 색이 처음 한 점 돌아왔다. 이후 어떤 파도가 쳐도 이 닻만은 떠내려가지 않는다. 떠나는 사람은 이 닻을 한 번 만지고 배에 오르고, 돌아오는 사람은 이 닻을 보고서야 ""아, 집에 왔구나"" 한다.",,,,,,,,,wb_v1,ko_draft
p03_04.head.05,lore,자원과 보석,,,,,,,,,wb_v1,ko_draft
p03_04.body.05,lore,"**소금별**: 파도가 부두에 부딪혀 흩어진 물보라가 햇볕에 마르면 남는 작은 별 모양 소금 결정. 떠나는 사람을 배웅하고 돌아선 자리, 젖은 부두 끝에서 줍는다. **닻고둥**과 **표류목**도 여기서 거둔다.",,,,,,,,,wb_v1,ko_draft
p03_04.head.06,lore,신기한 동물·현상,,,,,,,,,wb_v1,ko_draft
p03_04.body.06,lore,"**배웅갈매기**: 떠나는 배가 부두를 벗어날 때면 그 배를 한 바퀴 크게 돌고 온다. 어김없이 도는 한 바퀴를, 사람들은 ""잘 다녀와""라는 인사로 읽는다. **상륙절의 첫 색**: 닻 둘레의 물빛은 섬에서 가장 먼저, 가장 진하게 색을 켠다. 매일 새벽 색이 번질 때 시작점은 늘 이 항구다.",,,,,,,,,wb_v1,ko_draft
p03_04.head.07,lore,작은 역사,,,,,,,,,wb_v1,ko_draft
p03_04.body.07,lore,"반짝섬에서 가장 먼저 색이 돌아온 자리다. 첫 바람의 절기, 회색 수평선에 작은 조각배 한 척이 처음 나타난 곳이 이 항구였다. 상륙절에 그 배가 닿으며 바늘구멍만 한 색이 한 점 돌아왔다. 가장 먼저 깨어난 자리가, 매일 가장 먼저 깨어난다.",,,,,,,,,wb_v1,ko_draft
p03_04.head.08,lore,여기 어울리는 아이동,,,,,,,,,wb_v1,ko_draft
p03_04.body.08,lore,"작별 뒤에 긴 여운을 남기는 **날카여우**가 어울린다. 쿨하게 돌아서는 듯하지만 부두 끝에서 한 번 더 뒤를 돌아보는 결이다. 또는 돌아오는 배를 가장 먼저 알아보는 **황금멍**도 좋다. ""다녀올게""의 정서, 곧 뒷모습과 손, 그리고 ""잘 다녀와, 여기 있을게""라는 무언의 배웅이 이 항구의 위로다.",,,,,,,,,wb_v1,ko_draft
p03_05.title,lore,AREA-03 기억의 숲,,,,,,,,,wb_v1,ko_draft
p03_05.category,lore,구역,,,,,,,,,wb_v1,ko_draft
p03_05.nav_label,lore,AREA-03 기억의 숲,,,,,,,,,wb_v1,ko_draft
p03_05.summary.01,lore,잎맥나무와 메아리 우물이 있는 추억·흔적의 구역.,,,,,,,,,wb_v1,ko_draft
p03_05.head.01,lore,한 줄 정의,,,,,,,,,wb_v1,ko_draft
p03_05.quote.01,lore,"숲은 아무것도 돌려주지 않는다. 다만 네가 두고 간 것을, 잎맥 같은 무늬로 가만히 간직하고 있을 뿐이다.",,,,,,,,,wb_v1,ko_draft
p03_05.body.01,lore,"항구의 짠 내가 멀어지면 발밑이 부드러워진다. 마른 낙엽이 깔린 흙길로 들어서면 한 걸음마다 바스락 소리가 나고, 그 소리는 나무 사이를 지나 어딘가에서 작게 메아리쳐 돌아온다. 이끼초록과 호박갈색이 섞인 빛이 잎새 사이로 비스듬히 떨어진다.",,,,,,,,,wb_v1,ko_draft
p03_05.head.02,lore,풍경과 구성요소,,,,,,,,,wb_v1,ko_draft
p03_05.body.02,lore,"섬 안쪽, 등대 곶 위편의 깊은 자리에 있다. **전경**에는 마른 낙엽과 떨어진 도토리, **중경**에는 이끼 낀 오래된 나무들과 작은 우물 하나, **원경**에는 숲을 통째로 품은 가장 큰 나무인 잎맥나무가 선다. 길은 또렷하지 않다. 낙엽에 덮여 있어 걷는 사람마다 조금씩 다른 길을 낸다. 그래도 모든 길은 결국 잎맥나무 아래로 모인다.",,,,,,,,,wb_v1,ko_draft
p03_05.list.01.title,lore,소구역,,,,,,,,,wb_v1,ko_draft
p03_05.list.01.item.01,lore,**잎맥나무 산책길**: 잊은 장면들이 잎사귀 사이로 비치는 길. 밟은 낙엽에서 오래전 웃음소리가 아주 짧게 난다.,,,,,,,,,wb_v1,ko_draft
p03_05.list.01.item.02,lore,**낙엽 찻자리**: 누가 차려두고 간 듯한 숲속 한 칸. 찻잔 김이 사라질 때 잎맥에 장면 하나가 비친다.,,,,,,,,,wb_v1,ko_draft
p03_05.list.01.item.03,lore,**메아리 우물**: 이름 대신 마음이 되돌아오는 우물. 우물 안쪽에서 대답이 아니라 바람이 되돌아온다.,,,,,,,,,wb_v1,ko_draft
p03_05.list.01.item.04,lore,**잊은 이름 비석길**: 글자 없이 문양만 남은 작은 비석길. 비석 옆에 앉으면 사슴 눈동자에 장면이 스친다.,,,,,,,,,wb_v1,ko_draft
p03_05.head.03,lore,랜드마크,,,,,,,,,wb_v1,ko_draft
p03_05.body.03,lore,"**잎맥나무**: 숲에서 가장 큰 나무. 잎이 셀 수 없이 많고, 잎마다 잎맥의 무늬가 전부 다르다. 바람이 불어 잎그늘이 흔들리면 바닥에 옛 장면이 이중노출처럼 잠깐 어린다. 숲에서 가장 조용하고 가장 그리운 순간이다.",,,,,,,,,wb_v1,ko_draft
p03_05.head.04,lore,기념물,,,,,,,,,wb_v1,ko_draft
p03_05.body.04,lore,"**잊은 이름의 비석**: 글자는 없고 닳은 문양만 남았다. 잊혀 가는 모든 것을 위한 자리라고만 전한다. **메아리 우물**: 우물에 대고 흐려진 옛 이름을 부르면 그 이름이 딱 한 번 되돌아온다. 정확히 그 목소리로 오는 건 아니다. 숲이 간직하던 옅은 메아리로, 한 번. 그 한 번으로 충분하다고 한다.",,,,,,,,,wb_v1,ko_draft
p03_05.head.05,lore,자원과 보석,,,,,,,,,wb_v1,ko_draft
p03_05.body.05,lore,"**기억도토리**: 잎맥나무 아래 떨어진 도토리 중 몇 알에는, 빛에 비추면 안에서 작은 장면 하나가 어렴풋이 비친다. 낙엽 더미 속, 비석 그늘에서 줍는다. 그것이 누구의 기억인지 묻지 않는다. **잎맥차잎**과 **마른 이끼**도 여기서 거둔다.",,,,,,,,,wb_v1,ko_draft
p03_05.head.06,lore,신기한 동물·현상,,,,,,,,,wb_v1,ko_draft
p03_05.body.06,lore,"**되새김 사슴**: 가만히 들여다보면 큰 눈동자에 지난 장면이 어렴풋이 비친다. 잎맥나무 아래에서 무언가를 골똘히 곱씹는다. **잎그늘의 이중노출**: 바람이 불어 잎그늘이 흔들리면, 보는 사람이 마음에 품고 있던 장면을 숲이 되비춰 준다.",,,,,,,,,wb_v1,ko_draft
p03_05.head.07,lore,작은 역사,,,,,,,,,wb_v1,ko_draft
p03_05.body.07,lore,"빛이 번지는 계절에 색을 되찾았다. 한 아이동이 잎맥나무 아래에서 오래 잊고 있던 한 장면을 천천히 떠올렸을 때, 그 회상이 잎맥에 무늬로 스미며 숲에 색이 돌아왔다. 잎 한 장씩, 우물의 메아리 한 번씩, 들여다본 만큼만 천천히. 그래서 이 숲의 색은 지금도 완성된 적이 없다.",,,,,,,,,wb_v1,ko_draft
p03_05.head.08,lore,여기 어울리는 아이동,,,,,,,,,wb_v1,ko_draft
p03_05.body.08,lore,"**춤냥**(고양이)의 결이 맞다. 요란하지 않게 지난 일을 가만히 곱씹다가 한 동작으로만 풀어내는 절제된 회상이다. 해체한 그룹의 데뷔곡을 다시 듣는 마음처럼, 흐려진 것이 슬픔이 아니라 무늬로 남은 채 거기 있다는 것이 위로다.",,,,,,,,,wb_v1,ko_draft
p03_06.title,lore,AREA-04 고민 해결 동굴,,,,,,,,,wb_v1,ko_draft
p03_06.category,lore,구역,,,,,,,,,wb_v1,ko_draft
p03_06.nav_label,lore,AREA-04 고민 해결 동굴,,,,,,,,,wb_v1,ko_draft
p03_06.summary.01,lore,"말하면 별빛으로 반짝이는 벽, 침묵의 촛대가 있는 고민·해답의 구역.",,,,,,,,,wb_v1,ko_draft
p03_06.head.01,lore,한 줄 정의,,,,,,,,,wb_v1,ko_draft
p03_06.quote.01,lore,"동굴은 답을 가지고 있지 않다. 다만, 네가 소리 내어 말하는 동안 어둠을 조금 비켜 줄 뿐이다.",,,,,,,,,wb_v1,ko_draft
p03_06.body.01,lore,"숲 가장 깊은 곳, 낮게 갈라진 바위틈으로 들어서면 빛이 한순간 사라진다. 그러다 눈이 어둠에 익으면 천장과 벽에 박힌 동굴이끼별이 보이기 시작한다. 보라남 어둠 속에서 청록 형광이 은은히 번지고, 어디선가 물방울이 낮은 울림을 만든다.",,,,,,,,,wb_v1,ko_draft
p03_06.head.02,lore,풍경과 구성요소,,,,,,,,,wb_v1,ko_draft
p03_06.body.02,lore,"기억의 숲 아래, 자신감 폭포로 내려가는 길목의 어둑한 자리. **전경**에는 떨어진 물방울이 고인 웅덩이와 동굴이끼별, **중경**에는 종유석과 작은 촛대, **원경**에는 가장 안쪽의 매끈한 벽, 곧 말하면 반짝이는 벽이 있다. 길은 좁고 낮아 자연히 고개를 숙이고 들어가게 된다. 그렇게 몸을 낮추는 동안, 마음도 조금 낮아진다.",,,,,,,,,wb_v1,ko_draft
p03_06.list.01.title,lore,소구역,,,,,,,,,wb_v1,ko_draft
p03_06.list.01.item.01,lore,**동굴이끼 입구길**: 말하기 전 숨을 고르는 서늘한 길. 입구의 이끼가 발소리에 맞춰 아주 작게 밝아진다.,,,,,,,,,wb_v1,ko_draft
p03_06.list.01.item.02,lore,**침묵의 촛대자리**: 아무 말 없이 곁을 지키는 곳. 촛불이 꺼지지 않고 대답 대신 한 박자 흔들린다.,,,,,,,,,wb_v1,ko_draft
p03_06.list.01.item.03,lore,**빛점 벽 골목**: 말하지 못한 생각이 빛점으로 남는 벽. 손을 대면 글자 대신 별자리 같은 문양이 떠오른다.,,,,,,,,,wb_v1,ko_draft
p03_06.list.01.item.04,lore,**별이 맺히는 안쪽 벽**: 소리 낸 마음이 스스로를 비추는 가장 안쪽. 한숨을 쉬면 생각수정 하나가 물가에 맺힌다.,,,,,,,,,wb_v1,ko_draft
p03_06.head.03,lore,랜드마크,,,,,,,,,wb_v1,ko_draft
p03_06.body.03,lore,"**반짝이는 벽**: 동굴 가장 안쪽의 매끈한 안벽. 누군가 그 앞에서 마음속 생각을 소리 내어 말하면 별빛 같은 점들이 하나둘 떠오른다. 더 깊은 이야기를 꺼낼수록 더 많은 별이 뜨고, 말을 마칠 즈음이면 벽 한 면이 작은 밤하늘처럼 반짝인다. 그 빛은 답이 아니다. ""네가 한 말이 여기 이렇게 남았다""는 표식이다.",,,,,,,,,wb_v1,ko_draft
p03_06.head.04,lore,기념물,,,,,,,,,wb_v1,ko_draft
p03_06.body.04,lore,"**누군가의 쪽지 벽**: 말 못 한 고민을 두고 간 사람들이 끼워 넣은 쪽지들. 글자는 없고 각자 다른 문양만 있다. ""나만 이런 게 아니구나"" 하고 숨을 고르게 한다. **침묵의 촛대**: 누군가의 이야기를 끝까지 들어 준 밤마다 불이 한 번 켜졌다 전한다. 누가 켜는지는 아무도 모른다.",,,,,,,,,wb_v1,ko_draft
p03_06.head.05,lore,자원과 보석,,,,,,,,,wb_v1,ko_draft
p03_06.body.05,lore,"**생각수정**: 끝내 소리 내어 말하지 못한 생각이 동굴 벽 안에서 굳어 맺힌 결정. 차갑고 단단하지만, 빛에 비추면 안에서 말하려다 만 듯한 결이 어른거린다. **메아리석**과 **동굴이끼별**도 여기서 거둔다.",,,,,,,,,wb_v1,ko_draft
p03_06.head.06,lore,신기한 동물·현상,,,,,,,,,wb_v1,ko_draft
